caption,token_file
"Wind blows, people speak and vibrations rattle",clip_84.pt
A door is closed,clip_85.pt
A woman is speaking and rain is falling lightly,clip_86.pt
Light wind and rustling,clip_87.pt
Water noisily going down a street drain while voices of children are in the background,clip_88.pt
"A boat motor runs smoothly, wind is blowing, and two adult males speak",clip_89.pt
"A railroad train, chain clanking and, steam whistle blowing",clip_90.pt
"Strong wind is blowing and water splashes faintly, followed by a mid-size motor vehicle engine revving once",clip_91.pt
Music plays followed by a door opening and a woman sneezing,clip_92.pt
"Wind sounds, followed by a man talking nearby",clip_93.pt
Continuous train horn,clip_94.pt
Rain falls and leaves rustle followed by the distant roar of thunder,clip_95.pt
Heavy wind followed by a vehicle starting and revving intermittently,clip_97.pt
Wind and a female voice before a speed boat goes past,clip_98.pt
Wind blows with faint coos of pigeons and traffic passing in the distance,clip_100.pt
Wind noise on ocean,clip_101.pt
A train passes and sounds a horn,clip_104.pt
A door opens and closes nearby several times,clip_105.pt
A door opening and then closing,clip_106.pt
A train horn blows and alarm bells ring as heavy traffic passes by,clip_107.pt
A train and train horn noise while people talking,clip_108.pt
A train horn blares and warning bells ring as a loud motor passes,clip_109.pt
"The wind is blowing, a railroad crossing alarm clangs in the distance, and a train horn blows",clip_110.pt
Wind noise sounds and a train goes by with horn sounds,clip_111.pt
Gun firing and shooting during a rain and thunderstorm,clip_112.pt
"An emergency vehicle passe by, sounds the siren and honks the horn while rain pours in the background",clip_113.pt
Very heavy rainfall,clip_114.pt
Wind blowing and ocean waves flowing gently,clip_115.pt
People speak and wind blows as a car engine revs,clip_116.pt
"Distant humming of an engine grows louder, bugs chirp, and wind blows",clip_117.pt
"The wind blows, footsteps shuffle along a path and a car door is opened and closed twice",clip_118.pt
Water splashes as wind blows nearby,clip_119.pt
"Wind noise, followed by a woman talking",clip_120.pt
A door is closed and the door is banged on,clip_121.pt
Wind noises with a siren in the background,clip_122.pt
Heavy wave sound with wind blowing and a man talking,clip_123.pt
Water running followed by wind,clip_124.pt
The sound of wind buffeting as sounds of speeding vehicles go by,clip_125.pt
Wind blows a vehicles pass by on street,clip_127.pt
A helicopter flies and wind blows,clip_128.pt
A man speaking as glass clanks during sharp scrapping,clip_130.pt
"Wind blows, water splashes, people speak",clip_131.pt
A train rattles loudly across tracks as the wheels clack,clip_132.pt
Wind blows as waves crash against a shoreline,clip_133.pt
Humming of passing traffic with wind blowing,clip_135.pt
Wind noise under a microphone with ocean wave sounds,clip_136.pt
A train clatters by on a track and then honks blare and fade in the background,clip_137.pt
Water lightly splashing and trickling as wind blows moderately into a microphone,clip_138.pt
A man speaks followed by several gunshots with wind blowing,clip_139.pt
Muffled wind along with waves splashing,clip_140.pt
Train horn then train honk,clip_141.pt
Music playing and rain falling with thunder,clip_142.pt
Wind blowing into a microphone followed by water splashing and birds chirping in the distance,clip_144.pt
A group of people talking as a kid laughs and yells followed by a woman coughing as ocean waves crash and wind blows into a microphone,clip_146.pt
A train blows its horn for a long time,clip_149.pt
A man is speaking followed by a door squeaking and a man speaks,clip_150.pt
"Gusty wind, a soft motor",clip_151.pt
Rain and thunder noises outside followed by stronger rain sounds,clip_152.pt
Wind blowing hard with vibrations of an idling engine and a man speaking,clip_154.pt
Cars pass on a road and the wind blows,clip_155.pt
A steam engine whistle blowing several times as steam hisses and wind blows lightly into a microphone,clip_156.pt
A toy squeaking as wind blows into a microphone followed by a person clapping then sheep baaing,clip_157.pt
A group of people outdoors talking loudly to each other,clip_158.pt
An aircraft flying in the distance as wind blows heavily into a microphone,clip_159.pt
A group of people shouting as birds chirp in the distance and wind blows into a microphone,clip_160.pt
A vehicle driving by twice as wind blows into a microphone,clip_161.pt
Heavy rain and thunder crashing,clip_163.pt
Water splashing and wind blowing,clip_165.pt
Rain falls while wind blows,clip_167.pt
Several goats bleat with men speaking and wind blowing,clip_168.pt
Wind blows and engines hum as water splashes,clip_169.pt
A train horn is triggered shortly while an engine works,clip_170.pt
A click then toilet flush followed by footsteps,clip_171.pt
"The wind is blowing, traffic is present, a horse is trotting, and an adult male speaks in the background",clip_172.pt
Rain falls and windshield wipers operate,clip_173.pt
An emergency vehicle siren sounds loudly in the distance as wind blows by,clip_174.pt
Cricket noise with wind and a frog croaks,clip_175.pt
A train passes and blows a horn,clip_176.pt
A series of train horns sounding over a train running on railroad tracks,clip_178.pt
An engine accelerating away and heavy wind,clip_180.pt
Thunder cracks in the distance and rain falls,clip_181.pt
Train honking and bell ringing,clip_182.pt
Ocean waves crashing as footsteps run on sand followed by dogs barking while wind blows into a microphone,clip_183.pt
"Rain, thunder and a horn noise",clip_185.pt
Water running and some gurgling and draining,clip_186.pt
Strong wind noise with birds tweeting and a man talks,clip_187.pt
A train horn honking as a train runs on railroad tracks followed by a high-pitched train horn then a woman speaking,clip_189.pt
Consistent thumps and a door closes followed by a police car siren,clip_191.pt
Wind is blowing and something is rustling,clip_192.pt
A woman talking as a group of dogs bark while a door creaks open followed by a man speaking softly in the background,clip_193.pt
A toy helicopter motor starting up then flying as wind blows into a microphone,clip_194.pt
A train engine from a distance,clip_195.pt
A vehicle door opening and closing as two men are talking while a dog is barking before a vehicle engine starts up and accelerates,clip_197.pt
Wind is picking up at a fast speed,clip_198.pt
"Wind blows nearby, as people talk and scream in the distance",clip_199.pt
