caption,audio_filename
Door sound with woman chuckling,clip_72.wav
Traffic and car horns are in the background while an emergency vehicle blasts a series of sirens followed by wind and travel noise,clip_74.wav
Wind is blowing hard and a man is speaking over the wind,clip_75.wav
A man speaking over an intercom as wind lightly blows into a microphone,clip_76.wav
"A very loud train horn blaring in the distance, and getting closer']}]",clip_77.wav
A windy day and a man speaking in the distance,clip_78.wav
A man talking while the wind blows on the microphone and bees buzz,clip_80.wav
"A machine that is running, tapping and making winding noises",clip_81.wav
"A door closes, and a man talks",clip_82.wav
Waves are splashing and wind is blowing,clip_83.wav
"Wind blows, people speak and vibrations rattle",clip_84.wav
A door is closed,clip_85.wav
A woman is speaking and rain is falling lightly,clip_86.wav
Light wind and rustling,clip_87.wav
Water noisily going down a street drain while voices of children are in the background,clip_88.wav
"A boat motor runs smoothly, wind is blowing, and two adult males speak",clip_89.wav
"A railroad train, chain clanking and, steam whistle blowing",clip_90.wav
"Strong wind is blowing and water splashes faintly, followed by a mid-size motor vehicle engine revving once",clip_91.wav
Music plays followed by a door opening and a woman sneezing,clip_92.wav
"Wind sounds, followed by a man talking nearby",clip_93.wav
Continuous train horn,clip_94.wav
Rain falls and leaves rustle followed by the distant roar of thunder,clip_95.wav
Heavy wind followed by a vehicle starting and revving intermittently,clip_97.wav
Wind and a female voice before a speed boat goes past,clip_98.wav
Wind blows with faint coos of pigeons and traffic passing in the distance,clip_100.wav
Wind noise on ocean,clip_101.wav
A train passes and sounds a horn,clip_104.wav
A door opens and closes nearby several times,clip_105.wav
A door opening and then closing,clip_106.wav
A train horn blows and alarm bells ring as heavy traffic passes by,clip_107.wav
A train and train horn noise while people talking,clip_108.wav
A train horn blares and warning bells ring as a loud motor passes,clip_109.wav
"The wind is blowing, a railroad crossing alarm clangs in the distance, and a train horn blows",clip_110.wav
Wind noise sounds and a train goes by with horn sounds,clip_111.wav
Gun firing and shooting during a rain and thunderstorm,clip_112.wav
"An emergency vehicle passe by, sounds the siren and honks the horn while rain pours in the background",clip_113.wav
Very heavy rainfall,clip_114.wav
Wind blowing and ocean waves flowing gently,clip_115.wav
People speak and wind blows as a car engine revs,clip_116.wav
"Distant humming of an engine grows louder, bugs chirp, and wind blows",clip_117.wav
"The wind blows, footsteps shuffle along a path and a car door is opened and closed twice",clip_118.wav
Water splashes as wind blows nearby,clip_119.wav
"Wind noise, followed by a woman talking",clip_120.wav
A door is closed and the door is banged on,clip_121.wav
Wind noises with a siren in the background,clip_122.wav
Heavy wave sound with wind blowing and a man talking,clip_123.wav
Water running followed by wind,clip_124.wav
The sound of wind buffeting as sounds of speeding vehicles go by,clip_125.wav
Wind blows a vehicles pass by on street,clip_127.wav
A helicopter flies and wind blows,clip_128.wav
A man speaking as glass clanks during sharp scrapping,clip_130.wav
"Wind blows, water splashes, people speak",clip_131.wav
A train rattles loudly across tracks as the wheels clack,clip_132.wav
Wind blows as waves crash against a shoreline,clip_133.wav
Humming of passing traffic with wind blowing,clip_135.wav
Wind noise under a microphone with ocean wave sounds,clip_136.wav
A train clatters by on a track and then honks blare and fade in the background,clip_137.wav
Water lightly splashing and trickling as wind blows moderately into a microphone,clip_138.wav
A man speaks followed by several gunshots with wind blowing,clip_139.wav
Muffled wind along with waves splashing,clip_140.wav
Train horn then train honk,clip_141.wav
Music playing and rain falling with thunder,clip_142.wav
Wind blowing into a microphone followed by water splashing and birds chirping in the distance,clip_144.wav
A group of people talking as a kid laughs and yells followed by a woman coughing as ocean waves crash and wind blows into a microphone,clip_146.wav
A train blows its horn for a long time,clip_149.wav
A man is speaking followed by a door squeaking and a man speaks,clip_150.wav
"Gusty wind, a soft motor",clip_151.wav
Rain and thunder noises outside followed by stronger rain sounds,clip_152.wav
Wind blowing hard with vibrations of an idling engine and a man speaking,clip_154.wav
Cars pass on a road and the wind blows,clip_155.wav
A steam engine whistle blowing several times as steam hisses and wind blows lightly into a microphone,clip_156.wav
A toy squeaking as wind blows into a microphone followed by a person clapping then sheep baaing,clip_157.wav
A group of people outdoors talking loudly to each other,clip_158.wav
An aircraft flying in the distance as wind blows heavily into a microphone,clip_159.wav
A group of people shouting as birds chirp in the distance and wind blows into a microphone,clip_160.wav
A vehicle driving by twice as wind blows into a microphone,clip_161.wav
Heavy rain and thunder crashing,clip_163.wav
Water splashing and wind blowing,clip_165.wav
Rain falls while wind blows,clip_167.wav
Several goats bleat with men speaking and wind blowing,clip_168.wav
Wind blows and engines hum as water splashes,clip_169.wav
A train horn is triggered shortly while an engine works,clip_170.wav
A click then toilet flush followed by footsteps,clip_171.wav
"The wind is blowing, traffic is present, a horse is trotting, and an adult male speaks in the background",clip_172.wav
Rain falls and windshield wipers operate,clip_173.wav
An emergency vehicle siren sounds loudly in the distance as wind blows by,clip_174.wav
Cricket noise with wind and a frog croaks,clip_175.wav
A train passes and blows a horn,clip_176.wav
A series of train horns sounding over a train running on railroad tracks,clip_178.wav
An engine accelerating away and heavy wind,clip_180.wav
Thunder cracks in the distance and rain falls,clip_181.wav
Train honking and bell ringing,clip_182.wav
Ocean waves crashing as footsteps run on sand followed by dogs barking while wind blows into a microphone,clip_183.wav
"Rain, thunder and a horn noise",clip_185.wav
Water running and some gurgling and draining,clip_186.wav
Strong wind noise with birds tweeting and a man talks,clip_187.wav
A train horn honking as a train runs on railroad tracks followed by a high-pitched train horn then a woman speaking,clip_189.wav
Consistent thumps and a door closes followed by a police car siren,clip_191.wav
Wind is blowing and something is rustling,clip_192.wav
A woman talking as a group of dogs bark while a door creaks open followed by a man speaking softly in the background,clip_193.wav
A toy helicopter motor starting up then flying as wind blows into a microphone,clip_194.wav
A train engine from a distance,clip_195.wav
A vehicle door opening and closing as two men are talking while a dog is barking before a vehicle engine starts up and accelerates,clip_197.wav
Wind is picking up at a fast speed,clip_198.wav
"Wind blows nearby, as people talk and scream in the distance",clip_199.wav
